"id","tv_name","ratings","price","original_price","discount_element","operating_system","features","launch_year","warranty"
0,"SAMSUNG Crystal 4K Vision Pro (2024 Edition) 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV","4.3","₹45,990","₹66,900","31% off"," Tizen","Ultra HD (4K) 3840 x 2160 Pixels","2024","2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel)"
1,"MarQ by Flipkart 80 cm (32 inch) HD Ready LED Smart Coolita TV","4.2","₹8,399","₹21,000","60% off"," Coolita","HD Ready 1366 x 768 Pixels","2023","1 Year Warranty on the Product"
2,"Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition with HD |Dolby Audio | DTS:HD | ...","4.3","₹11,999","₹24,999","52% off"," Google TV","HD Ready 1366 x 768 Pixels","2023","1 Year Warranty on Product and 2 Years Warranty on Panel"
3,"SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design","4.4","₹13,490","₹18,900","28% off"," Tizen","HD Ready 1366 x 768 Pixels","2022","1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel"
4,"SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV 2023 Edition","4.4","₹24,499","₹37,900","35% off"," Tizen","Full HD 1920 x 1080 Pixels","2023","1 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
5,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV 2023 Edition with a5 AI Processor Gen5, Refresh Rate: 6...","4.3","₹14,990","₹19,990","25% off"," WebOS","HD Ready 1366 x 768 Pixels","2023","1 Year Product Warranty Applicable"
6,"Hyundai 109 cm (43 inch) Full HD LED Smart Android Based TV","3.6","₹17,990","₹46,490","61% off"," Android Based","Full HD 1920 x 1080 Pixels","2022","1 year warranty on product and 6 months on remote"
7,"SAMSUNG Crystal 4K Vivid 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV 2024 Edition","4.3","₹43,990","₹64,900","32% off"," Tizen","Ultra HD (4K) 3840 x 2160 Pixels","2024","2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel)"
8,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV","4.3","₹13,990","₹24,990","44% off"," WebOS","HD Ready 1366 x 768 Pixels","2020","1 Year Product Warranty Applicable"
9,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2023 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,490","₹24,999","54% off"," FireTv OS 7","HD Ready 1366 x 768 Pixels","2023","1 Year Warranty"
